,codi,vent gra_mit,vent vel_mit,vent vel_max,temp mit_mit,hrel mit_mit,pres mit_mit,prec tot_sum,prec tot,latitud,longitud,altitud,nom descriptiu,autoritza?
2024-06-08 23:35:00,c04m055e07,225,56.3,86.9,13.7,81.0,1005.2,2.0,0.0,40.203522,-0.267557,1164.0,Xodos - la Lloma Bernat,SÍ
2024-06-08 23:50:00,c05m128e02,270,49.9,77.2,22.2,54.0,1004.7,0.0,0.0,40.114498,-0.054284,350.0,Vilafamés - Centre Històric,SÍ
2024-06-08 23:20:00,c06m021e03,292,62.8,103.0,22.6,61.0,1003.0,0.0,0.0,39.904254,-0.178197,138.0,Betxí - Muntanyeta de Sant Antoni,SÍ
2024-06-08 23:20:00,c06m126e03,292,49.9,111.0,22.3,61.0,1002.4,0.0,0.0,39.82324,-0.23296,123.0,la Vall d′Uixó,SÍ
2024-06-08 23:10:00,c06m136e01,315,37.0,77.2,23.2,59.0,1006.5,0.0,0.0,39.859338,-0.186056,50.0,la Vilavella - Carrer Barranc,SÍ
2024-06-08 21:50:00,c11m214e05,270,48.2,88.6,21.1,63.0,1008.2,2.2,0.2,39.549,-0.574,104.0,Riba-roja de Túria,SÍ
2024-06-08 21:40:00,c11m256e04,270,40.2,74.0,18.1,82.0,1008.6,1.89,0.91,39.55027778,-0.6625,185.0,Vilamarxant - La Pedrera,SÍ
2024-06-08 21:40:00,c11m256e05,270,53.1,90.1,20.5,74.0,1006.9,1.8,1.0,39.567718,-0.622382,110.0,Vilamarxant - Ajuntament,SÍ
2024-06-08 21:20:00,c11m256e06,247,27.4,75.6,21.7,67.0,1008.1,0.0,0.0,39.564779,-0.68217,155.0,Vilamarxant - Mas de Teulada,SÍ
2024-06-08 22:40:00,c12m103e01,270,51.5,80.5,21.8,72.0,1007.7,0.0,0.0,39.736812,-0.266715,45.0,Quartell,SÍ
2024-06-08 22:50:00,c13m199e01,292,49.9,96.6,19.5,79.0,1005.8,1.2,0.2,39.578555,-0.326871,20.0,la Pobla de Farnals,SÍ
2024-06-08 21:25:00,c18m077e03,293,46.0,72.0,17.0,81.0,1004.0,0.0,0.0,39.4457,-0.7609,402.0,Bunyol - El Vallejo,SÍ
2024-06-08 21:10:00,c18m077e04,180,82.1,133.6,15.8,88.0,1010.3,0.6,0.6,39.453333,-0.840833,794.0,Bunyol - Alto Gordo (oest),SÍ
2024-06-08 21:30:00,c18m111e01,297,43.8,79.6,17.9,84.0,1006.0,18.2,2.4,39.4778,-0.7211,293.0,Xiva,SÍ
2024-06-08 21:10:00,c18m158e01,302,27.0,71.6,16.5,98.0,1009.0,13.6,7.9,39.38934,-0.78365,363.0,Macastre,SÍ
2024-06-08 22:05:00,c20m031e02,315,42.0,76.0,19.9,78.0,1002.4,5.7,0.0,39.268523,-0.497428,115.0,Alginet - Urb. Los Lagos,SÍ
2024-06-08 21:20:00,c20m248e02,0,43.5,74.0,18.3,81.0,1003.9,5.4,0.0,39.3914,-0.668389,255.0,Torís - Canyapar,SÍ
2024-06-08 20:00:00,c23m128e02,293,53.7,112.7,17.6,80.0,1003.7,1.6,0.0,38.796944,-0.883056,596.0,la Font de la Figuera - Parc solar,SÍ
2024-06-08 21:20:00,c25m181e06,259,29.8,77.0,24.4,62.0,1001.0,0.0,0.0,38.91830417,-0.120659,45.0,Oliva - CEIP Santa Anna,SÍ
2024-06-08 21:00:00,c25m255e06,270,25.7,75.6,25.8,60.0,1006.7,0.0,0.0,38.888472,-0.211361,92.0,Vilallonga - Serpis,SÍ
2024-06-08 20:50:00,c27m009e22,66,5.7,71.9,15.9,81.0,1013.0,0.0,0.0,38.71,-0.52,820.0,Alcoi - Baradello (ACIF),SÍ
2024-06-08 20:40:00,c27m009e23,286,75.6,93.3,19.9,63.0,1011.1,0.0,0.0,38.69308,-0.47756,588.0,Alcoi - Zona Alta,SÍ
2024-06-08 20:15:00,c28m140e25,270,72.1,126.2,15.3,82.0,1006.2,0.4,0.4,38.6391403,-0.8519586,778.0,Villena - Serra de La Villa climatoclab,SÍ
2024-06-08 21:40:00,c30m137e03,292,35.4,72.4,19.3,63.0,1006.1,0.0,0.0,38.7733,-0.1275,540.0,la Vall de Laguar - Benimaurell,SÍ
2024-06-08 21:10:00,c31m048e08,292,35.4,77.2,24.3,52.0,1004.8,0.0,0.0,38.6461,-0.1205,247.0,Callosa d′en Sarrià - el Colomer,SÍ
2024-06-08 20:50:00,c31m057e12,270,43.5,85.3,12.3,88.0,1003.7,0.0,0.0,38.64889,-0.265,1549.0,Confrides - Cim d′Aitana,SÍ
2024-06-08 20:50:00,c32m083e08,315,61.2,91.7,16.3,80.0,1004.9,0.4,0.2,38.541848,-0.509783,535.0,Xixona - Castell,SÍ
2024-06-08 20:40:00,c32m083e19,337,53.1,91.7,13.9,84.0,1007.5,0.2,0.2,38.609507,-0.4722456,1105.0,Xixona - Pou de Neu el Surdo,SÍ
2024-06-08 20:43:00,c32m083e41,306,56.3,90.1,12.4,90.0,1000.9,1.2,0.6,38.60425803,-0.48590712,1025.0,Xixona - Port de la Carrasqueta CEGESEM,SÍ
